"The National Center for Health Statistics (NCHS) has published an update to the International Classification of Diseases, 10th Revision, Clinical Modification (ICD-10-CM) diagnosis codes, which will become effective October 1, 2022.
This FY 2023 (October 1, 2022 Update) Conversion Table includes the new ICD-10-CM codes and is provided to assist users in data retrieval.  For each new code the table shows the effective date and its previously assigned code equivalent in bold. Unless otherwise specified the code effective date is October 1 of the year listed.",,
Current code assignment,Effective,Previous Code(s) Assignment
A04.71,2017,A04.7
A04.72,2017,A04.7
A79.82,2021,A77.49
A84.81,2020,A84.8
A84.89,2020,A84.8
A92.5,2016,A92.8
B37.31,2022,B37.3
B37.32,2022,B37.3
B60.00,2020,B60.0
B60.01,2020,B60.0
B60.02,2020,B60.0
B60.03,2020,B60.0
B60.09,2020,B60.0
C43.111,2018,C43.11
C43.112,2018,C43.11
C43.121,2018,C43.12
C43.122,2018,C43.12
C4A.111,2018,C4A.11
C4A.112,2018,C4A.11
C4A.121,2018,C4A.12
C4A.122,2018,C4A.12
C44.1021,2018,C44.102
C44.1022,2018,C44.102
C44.1091,2018,C44.109
C44.1092,2018,C44.109
C44.1121  ,2018,C44.112
C44.1122,2018,C44.112
C44.1191  ,2018,C44.119
C44.1192,2018,C44.119
C44.1221,2018,C44.122
C44.1222 ,2018,C44.122
C44.1291,2018,C44.129
C44.1292,2018,C44.129
C44.131,2018,C44.19
C44.1321,2018,C44.19
C44.1322,2018,C44.19
C44.1391,2018,C44.19
C44.1392,2018,C44.19
C44.1921,2018,C44.192
C44.1922,2018,C44.192
C44.1991,2018,C44.199
C44.1992,2018,C44.199
C49.A0,2016,C49.4
C49.A1,2016,C16.0
C49.A2,2016,C16.9
C49.A3,2016,C49.4
C49.A4,2016,C49.4
C49.A5,2016,C49.4
C49.A9,2016,C49.6
C56.3,2021,C56.1 and C56.2
C79.63,2021,C79.61 and C79.62
C84.7A,2021,C84.79
C96.20,2017,C96.2
C96.21,2017,C96.2
C96.22,2017,C96.2
C96.29,2017,C96.2
D03.111,2018,D03.11
D03.112,2018,D03.11
D03.121,2018,D03.12
D03.122,2018,D03.12
D04.111,2018,D04.11
D04.112,2018,D04.11
D04.121,2018,D04.12
D04.122,2018,D04.12
D22.111,2018,D22.11
D22.112,2018,D22.11
D22.121,2018,D22.12
D22.122,2018,D22.12
D23.111,2018,D23.11
D23.112,2018,D23.11
D23.121,2018,D23.12
D23.122,2018,D23.12
D47.01,2017,D47.0
D47.02,2017,D47.0
D47.09,2017,D47.0
D47.Z2,2016,D47.9
D49.511,2016,D49.5
D49.512,2016,D49.5
D49.519,2016,D49.5
D49.59,2016,D49.5
D55.21,2021,D55.2
D55.29,2021,D55.2
D57.03,2020,D57.00
D57.09,2020,D57.00
